Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 2.654520e-02, 1.077186e-02, 1.024952e-01, 1.019645e+00, 1.471229e+00, -1.052695e+00, 2.745258e+00, -2.012021e-01, 1.609518e-10, 4.887164e-10, 1.574763e-10, 1.775523e-10, 4.137420e+01, 7.980481e-02
2.038000e+08, 2.702257e-02, 1.095734e-02, 1.024139e-01, 1.019533e+00, 1.467386e+00, -1.064363e+00, 2.741498e+00, -2.054413e-01, 1.583672e-10, 4.813224e-10, 1.608484e-10, 1.771041e-10, 4.139310e+01, 8.045327e-02
2.076000e+08, 2.749843e-02, 1.114147e-02, 1.023327e-01, 1.019419e+00, 1.463605e+00, -1.075855e+00, 2.737657e+00, -2.096699e-01, 1.558838e-10, 4.742247e-10, 1.640700e-10, 1.766749e-10, 4.141237e+01, 8.111465e-02
2.114000e+08, 2.797275e-02, 1.132431e-02, 1.022515e-01, 1.019305e+00, 1.459883e+00, -1.087178e+00, 2.733740e+00, -2.138882e-01, 1.534957e-10, 4.674144e-10, 1.671519e-10, 1.762633e-10, 4.143202e+01, 8.178806e-02
2.152000e+08, 2.844547e-02, 1.150593e-02, 1.021701e-01, 1.019189e+00, 1.456218e+00, -1.098338e+00, 2.729749e+00, -2.180967e-01, 1.511975e-10, 4.608824e-10, 1.701038e-10, 1.758681e-10, 4.145204e+01, 8.247265e-02
2.190000e+08, 2.891657e-02, 1.168638e-02, 1.020885e-01, 1.019073e+00, 1.452608e+00, -1.109342e+00, 2.725688e+00, -2.222957e-01, 1.489841e-10, 4.546190e-10, 1.729346e-10, 1.754882e-10, 4.147243e+01, 8.316765e-02
2.228000e+08, 2.938600e-02, 1.186571e-02, 1.020065e-01, 1.018956e+00, 1.449051e+00, -1.120197e+00, 2.721559e+00, -2.264857e-01, 1.468513e-10, 4.486143e-10, 1.756524e-10, 1.751228e-10, 4.149321e+01, 8.387231e-02
2.266000e+08, 2.985372e-02, 1.204398e-02, 1.019241e-01, 1.018838e+00, 1.445544e+00, -1.130908e+00, 2.717365e+00, -2.306669e-01, 1.447949e-10, 4.428582e-10, 1.782650e-10, 1.747709e-10, 4.151437e+01, 8.458593e-02
2.304000e+08, 3.031968e-02, 1.222122e-02, 1.018412e-01, 1.018720e+00, 1.442087e+00, -1.141481e+00, 2.713108e+00, -2.348398e-01, 1.428114e-10, 4.373408e-10, 1.807790e-10, 1.744316e-10, 4.153591e+01, 8.530786e-02
2.342000e+08, 3.078385e-02, 1.239748e-02, 1.017577e-01, 1.018601e+00, 1.438678e+00, -1.151923e+00, 2.708792e+00, -2.390045e-01, 1.408976e-10, 4.320520e-10, 1.832011e-10, 1.741044e-10, 4.155785e+01, 8.603747e-02
2.380000e+08, 3.124619e-02, 1.257281e-02, 1.016735e-01, 1.018482e+00, 1.435313e+00, -1.162239e+00, 2.704418e+00, -2.431615e-01, 1.390504e-10, 4.269821e-10, 1.855370e-10, 1.737884e-10, 4.158017e+01, 8.677418e-02
