Frequency [Hz], |S02| [-], |S12| [-], |S22| [-], |S32| [-], Arg(S02) [-], Arg(S12) [-], Arg(S22) [-], Arg(S32) [-], Delay 2>0 [s], Delay 2>1 [s], Delay 2>2 [s], Delay 2>3 [s], |Z2| [Ohm] , Arg(Z2) [-]
2.000000e+08, 8.808793e-03, 5.504547e-02, 6.723172e-02, 9.896896e-01, 3.823287e-01, 1.370148e+00, -2.546610e+00, -2.065343e-01, 4.333783e-10, 1.973240e-10, -2.693624e-10, 1.553261e-10, 1.117745e+02, 7.556401e-02
2.038000e+08, 8.959622e-03, 5.597472e-02, 6.764044e-02, 9.902976e-01, 3.719813e-01, 1.365437e+00, -2.540179e+00, -2.102428e-01, 4.134779e-10, 1.773993e-10, -3.025033e-10, 1.640720e-10, 1.117949e+02, 7.674387e-02
2.076000e+08, 9.102447e-03, 5.688864e-02, 6.813685e-02, 9.909070e-01, 3.621091e-01, 1.361201e+00, -2.532957e+00, -2.141602e-01, 3.847332e-10, 1.561837e-10, -3.138194e-10, 1.721617e-10, 1.118232e+02, 7.811848e-02
2.114000e+08, 9.238342e-03, 5.779438e-02, 6.873595e-02, 9.914592e-01, 3.529231e-01, 1.357472e+00, -2.525464e+00, -2.182708e-01, 3.492824e-10, 1.352741e-10, -3.025568e-10, 1.789472e-10, 1.118663e+02, 7.965054e-02
2.152000e+08, 9.368983e-03, 5.870002e-02, 6.944033e-02, 9.919049e-01, 3.445836e-01, 1.354242e+00, -2.518240e+00, -2.225433e-01, 3.097875e-10, 1.164082e-10, -2.707433e-10, 1.839371e-10, 1.119290e+02, 8.128638e-02
2.190000e+08, 9.496515e-03, 5.961377e-02, 7.024038e-02, 9.922070e-01, 3.371871e-01, 1.351463e+00, -2.511776e+00, -2.269351e-01, 2.692304e-10, 1.012250e-10, -2.227407e-10, 1.868262e-10, 1.120141e+02, 8.296213e-02
2.228000e+08, 9.623386e-03, 6.054311e-02, 7.111593e-02, 9.923433e-01, 3.307589e-01, 1.349046e+00, -2.506457e+00, -2.313957e-01, 2.306872e-10, 9.098901e-11, -1.644794e-10, 1.875083e-10, 1.121218e+02, 8.461068e-02
2.266000e+08, 9.752152e-03, 6.149383e-02, 7.203890e-02, 9.923077e-01, 3.252510e-01, 1.346874e+00, -2.502530e+00, -2.358727e-01, 1.970939e-10, 8.636644e-11, -1.025704e-10, 1.860721e-10, 1.122501e+02, 8.616859e-02
2.304000e+08, 9.885281e-03, 6.246942e-02, 7.297668e-02, 9.921095e-01, 3.205452e-01, 1.344812e+00, -2.500081e+00, -2.403154e-01, 1.710169e-10, 8.732964e-11, -4.348456e-11, 1.827842e-10, 1.123946e+02, 8.758251e-02
2.342000e+08, 1.002496e-02, 6.347071e-02, 7.389574e-02, 9.917717e-01, 3.164620e-01, 1.342726e+00, -2.499043e+00, -2.446796e-01, 1.544477e-10, 9.321866e-11, 7.080234e-12, 1.780580e-10, 1.125495e+02, 8.881434e-02
