Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 3.865938e-02, 1.008510e+00, 5.789980e-02, 7.150335e-03, -1.531436e+00, -2.157053e-01, 1.370825e+00, 3.784279e-01, 2.934923e-10, 1.672069e-10, 1.639064e-10, 2.962101e-10, 9.969666e+01, 7.722065e-02
2.038000e+08, 3.917172e-02, 1.008331e+00, 5.900240e-02, 7.290722e-03, -1.538443e+00, -2.196975e-01, 1.366911e+00, 3.713555e-01, 2.718716e-10, 1.670016e-10, 1.663663e-10, 3.007067e-10, 9.974729e+01, 7.826259e-02
2.076000e+08, 3.968575e-02, 1.008160e+00, 6.010331e-02, 7.431914e-03, -1.544935e+00, -2.236849e-01, 1.362939e+00, 3.641758e-01, 2.516760e-10, 1.668333e-10, 1.686469e-10, 3.055343e-10, 9.979529e+01, 7.930345e-02
2.114000e+08, 4.020270e-02, 1.007998e+00, 6.120207e-02, 7.573839e-03, -1.550944e+00, -2.276682e-01, 1.358912e+00, 3.568809e-01, 2.329542e-10, 1.667014e-10, 1.707275e-10, 3.106215e-10, 9.984077e+01, 8.034635e-02
2.152000e+08, 4.072374e-02, 1.007843e+00, 6.229823e-02, 7.716417e-03, -1.556506e+00, -2.316484e-01, 1.354836e+00, 3.494644e-01, 2.157500e-10, 1.666046e-10, 1.725908e-10, 3.158963e-10, 9.988387e+01, 8.139422e-02
2.190000e+08, 4.125001e-02, 1.007697e+00, 6.339136e-02, 7.859553e-03, -1.561657e+00, -2.356262e-01, 1.350715e+00, 3.419221e-01, 2.000996e-10, 1.665419e-10, 1.742229e-10, 3.212872e-10, 9.992476e+01, 8.244986e-02
2.228000e+08, 4.178259e-02, 1.007559e+00, 6.448105e-02, 8.003147e-03, -1.566434e+00, -2.396026e-01, 1.346555e+00, 3.342510e-01, 1.860300e-10, 1.665116e-10, 1.756133e-10, 3.267237e-10, 9.996362e+01, 8.351580e-02
2.266000e+08, 4.232243e-02, 1.007428e+00, 6.556694e-02, 8.147086e-03, -1.570876e+00, -2.435783e-01, 1.342362e+00, 3.264501e-01, 1.735573e-10, 1.665121e-10, 1.767547e-10, 3.321368e-10, 1.000007e+02, 8.459438e-02
2.304000e+08, 4.287045e-02, 1.007305e+00, 6.664868e-02, 8.291254e-03, -1.575020e+00, -2.475539e-01, 1.338142e+00, 3.185199e-01, 1.626857e-10, 1.665413e-10, 1.776430e-10, 3.374602e-10, 1.000362e+02, 8.568767e-02
2.342000e+08, 4.342741e-02, 1.007188e+00, 6.772597e-02, 8.435529e-03, -1.578904e+00, -2.515303e-01, 1.333901e+00, 3.104627e-01, 1.534057e-10, 1.665971e-10, 1.782774e-10, 3.426303e-10, 1.000703e+02, 8.679744e-02
2.380000e+08, 4.399397e-02, 1.007078e+00, 6.879854e-02, 8.579785e-03, -1.582567e+00, -2.555080e-01, 1.329644e+00, 3.022820e-01, 1.456947e-10, 1.666770e-10, 1.786596e-10, 3.475875e-10, 1.001034e+02, 8.792518e-02
2.418000e+08, 4.457068e-02, 1.006973e+00, 6.986617e-02, 8.723893e-03, -1.586046e+00, -2.594876e-01, 1.325379e+00, 2.939830e-01, 1.395156e-10, 1.667786e-10, 1.787946e-10, 3.522761e-10, 1.001358e+02, 8.907210e-02
2.456000e+08, 4.515793e-02, 1.006873e+00, 7.092869e-02, 8.867725e-03, -1.589377e+00, -2.634696e-01, 1.321110e+00, 2.855720e-01, 1.348178e-10, 1.668990e-10, 1.786896e-10, 3.566453e-10, 1.001676e+02, 9.023904e-02
2.494000e+08, 4.575598e-02, 1.006778e+00, 7.198597e-02, 9.011154e-03, -1.592596e+00, -2.674545e-01, 1.316843e+00, 2.770567e-01, 1.315374e-10, 1.670354e-10, 1.783544e-10, 3.606494e-10, 1.001993e+02, 9.142657e-02
2.532000e+08, 4.636496e-02, 1.006687e+00, 7.303793e-02, 9.154057e-03, -1.595736e+00, -2.714426e-01, 1.312585e+00, 2.684458e-01, 1.295981e-10, 1.671848e-10, 1.778012e-10, 3.642481e-10, 1.002310e+02, 9.263490e-02
2.570000e+08, 4.698484e-02, 1.006600e+00, 7.408453e-02, 9.296315e-03, -1.598831e+00, -2.754344e-01, 1.308340e+00, 2.597490e-01, 1.289124e-10, 1.673442e-10, 1.770440e-10, 3.674071e-10, 1.002632e+02, 9.386394e-02
2.608000e+08, 4.761547e-02, 1.006515e+00, 7.512580e-02, 9.437817e-03, -1.601909e+00, -2.794299e-01, 1.304113e+00, 2.509767e-01, 1.293833e-10, 1.675103e-10, 1.760988e-10, 3.700981e-10, 1.002960e+02, 9.511329e-02
2.646000e+08, 4.825654e-02, 1.006431e+00, 7.616178e-02, 9.578457e-03, -1.604998e+00, -2.834294e-01, 1.299908e+00, 2.421402e-01, 1.309052e-10, 1.676801e-10, 1.749832e-10, 3.722993e-10, 1.003298e+02, 9.638222e-02
2.684000e+08, 4.890763e-02, 1.006349e+00, 7.719259e-02, 9.718142e-03, -1.608123e+00, -2.874329e-01, 1.295730e+00, 2.332512e-01, 1.333665e-10, 1.678505e-10, 1.737160e-10, 3.739951e-10, 1.003648e+02, 9.766974e-02
2.722000e+08, 4.956819e-02, 1.006268e+00, 7.821837e-02, 9.856789e-03, -1.611307e+00, -2.914406e-01, 1.291582e+00, 2.243216e-01, 1.366507e-10, 1.680182e-10, 1.723174e-10, 3.751765e-10, 1.004013e+02, 9.897456e-02
2.760000e+08, 5.023754e-02, 1.006186e+00, 7.923930e-02, 9.994326e-03, -1.614570e+00, -2.954522e-01, 1.287468e+00, 2.153639e-01, 1.406386e-10, 1.681802e-10, 1.708083e-10, 3.758407e-10, 1.004395e+02, 1.002952e-01
2.798000e+08, 5.091492e-02, 1.006104e+00, 8.025563e-02, 1.013070e-02, -1.617928e+00, -2.994677e-01, 1.283390e+00, 2.063903e-01, 1.452101e-10, 1.683338e-10, 1.692104e-10, 3.759916e-10, 1.004797e+02, 1.016298e-01
2.836000e+08, 5.159946e-02, 1.006020e+00, 8.126759e-02, 1.026585e-02, -1.621395e+00, -3.034868e-01, 1.279350e+00, 1.974131e-01, 1.502455e-10, 1.684761e-10, 1.675458e-10, 3.756390e-10, 1.005219e+02, 1.029764e-01
2.874000e+08, 5.229021e-02, 1.005934e+00, 8.227547e-02, 1.039977e-02, -1.624982e+00, -3.075094e-01, 1.275349e+00, 1.884443e-01, 1.556275e-10, 1.686046e-10, 1.658366e-10, 3.747989e-10, 1.005665e+02, 1.043330e-01
2.912000e+08, 5.298615e-02, 1.005845e+00, 8.327960e-02, 1.053243e-02, -1.628698e+00, -3.115350e-01, 1.271390e+00, 1.794955e-01, 1.612422e-10, 1.687170e-10, 1.641049e-10, 3.734929e-10, 1.006134e+02, 1.056972e-01
2.950000e+08, 5.368623e-02, 1.005754e+00, 8.428029e-02, 1.066384e-02, -1.632548e+00, -3.155633e-01, 1.267472e+00, 1.705780e-01, 1.669807e-10, 1.688111e-10, 1.623724e-10, 3.717481e-10, 1.006629e+02, 1.070666e-01
2.988000e+08, 5.438933e-02, 1.005659e+00, 8.527789e-02, 1.079402e-02, -1.636535e+00, -3.195938e-01, 1.263595e+00, 1.617021e-01, 1.727397e-10, 1.688851e-10, 1.606603e-10, 3.695966e-10, 1.007150e+02, 1.084387e-01
3.026000e+08, 5.509431e-02, 1.005560e+00, 8.627277e-02, 1.092299e-02, -1.640659e+00, -3.236262e-01, 1.259759e+00, 1.528776e-01, 1.784229e-10, 1.689375e-10, 1.589889e-10, 3.670749e-10, 1.007698e+02, 1.098110e-01
3.064000e+08, 5.580004e-02, 1.005457e+00, 8.726527e-02, 1.105080e-02, -1.644919e+00, -3.276597e-01, 1.255963e+00, 1.441132e-01, 1.839410e-10, 1.689670e-10, 1.573771e-10, 3.642237e-10, 1.008273e+02, 1.111809e-01
3.102000e+08, 5.650536e-02, 1.005349e+00, 8.825576e-02, 1.117751e-02, -1.649311e+00, -3.316940e-01, 1.252205e+00, 1.354170e-01, 1.892129e-10, 1.689729e-10, 1.558430e-10, 3.610874e-10, 1.008875e+02, 1.125458e-01
3.140000e+08, 5.720916e-02, 1.005237e+00, 8.924459e-02, 1.130321e-02, -1.653829e+00, -3.357284e-01, 1.248484e+00, 1.267956e-01, 1.941653e-10, 1.689545e-10, 1.544027e-10, 3.577130e-10, 1.009504e+02, 1.139034e-01
3.178000e+08, 5.791032e-02, 1.005120e+00, 9.023210e-02, 1.142796e-02, -1.658465e+00, -3.397624e-01, 1.244798e+00, 1.182548e-01, 1.987337e-10, 1.689116e-10, 1.530709e-10, 3.541503e-10, 1.010158e+02, 1.152511e-01
3.216000e+08, 5.860778e-02, 1.004999e+00, 9.121862e-02, 1.155187e-02, -1.663210e+00, -3.437953e-01, 1.241143e+00, 1.097991e-01, 2.028618e-10, 1.688444e-10, 1.518601e-10, 3.504503e-10, 1.010839e+02, 1.165866e-01
3.254000e+08, 5.930054e-02, 1.004872e+00, 9.220444e-02, 1.167505e-02, -1.668053e+00, -3.478267e-01, 1.237517e+00, 1.014317e-01, 2.065017e-10, 1.687533e-10, 1.507812e-10, 3.466655e-10, 1.011543e+02, 1.179077e-01
3.292000e+08, 5.998764e-02, 1.004741e+00, 9.318986e-02, 1.179761e-02, -1.672984e+00, -3.518559e-01, 1.233917e+00, 9.315470e-02, 2.096140e-10, 1.686391e-10, 1.498425e-10, 3.428484e-10, 1.012270e+02, 1.192125e-01
3.330000e+08, 6.066820e-02, 1.004606e+00, 9.417510e-02, 1.191966e-02, -1.677988e+00, -3.558823e-01, 1.230340e+00, 8.496881e-02, 2.121672e-10, 1.685029e-10, 1.490505e-10, 3.390512e-10, 1.013019e+02, 1.204990e-01
3.368000e+08, 6.134142e-02, 1.004467e+00, 9.516039e-02, 1.204135e-02, -1.683054e+00, -3.599055e-01, 1.226781e+00, 7.687359e-02, 2.141379e-10, 1.683461e-10, 1.484092e-10, 3.353252e-10, 1.013787e+02, 1.217657e-01
3.406000e+08, 6.200658e-02, 1.004323e+00, 9.614591e-02, 1.216278e-02, -1.688167e+00, -3.639250e-01, 1.223237e+00, 6.886733e-02, 2.155100e-10, 1.681703e-10, 1.479204e-10, 3.317197e-10, 1.014573e+02, 1.230111e-01
3.444000e+08, 6.266305e-02, 1.004176e+00, 9.713180e-02, 1.228410e-02, -1.693312e+00, -3.679402e-01, 1.219706e+00, 6.094716e-02, 2.162749e-10, 1.679776e-10, 1.475838e-10, 3.282817e-10, 1.015374e+02, 1.242339e-01
