Frequency [Hz], |S00| [-], |S10| [-], |S20| [-], |S30| [-], Arg(S00) [-], Arg(S10) [-], Arg(S20) [-], Arg(S30) [-], Delay 0>0 [s], Delay 0>1 [s], Delay 0>2 [s], Delay 0>3 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.475578e-01, 9.365384e-01, 2.417604e-02, 6.917456e-03, 2.899010e+00, -2.003840e-01, 1.419096e+00, -1.060377e+00, 1.428049e-10, 1.696988e-10, 2.344808e-11, 1.753684e-10, 3.748494e+01, 7.234133e-02
2.038000e+08, 1.473030e-01, 9.366502e-01, 2.460752e-02, 7.058832e-03, 2.895600e+00, -2.044358e-01, 1.418536e+00, -1.064565e+00, 1.442275e-10, 1.694972e-10, 2.517517e-11, 1.812601e-10, 3.751347e+01, 7.320234e-02
2.076000e+08, 1.470450e-01, 9.367630e-01, 2.503710e-02, 7.200802e-03, 2.892157e+00, -2.084827e-01, 1.417935e+00, -1.068892e+00, 1.455974e-10, 1.693056e-10, 2.682791e-11, 1.869194e-10, 3.754246e+01, 7.406703e-02
2.114000e+08, 1.467839e-01, 9.368769e-01, 2.546476e-02, 7.343362e-03, 2.888680e+00, -2.125251e-01, 1.417295e+00, -1.073355e+00, 1.469183e-10, 1.691236e-10, 2.841266e-11, 1.923613e-10, 3.757189e+01, 7.493491e-02
2.152000e+08, 1.465197e-01, 9.369918e-01, 2.589045e-02, 7.486503e-03, 2.885172e+00, -2.165631e-01, 1.416616e+00, -1.077948e+00, 1.481937e-10, 1.689503e-10, 2.993526e-11, 1.975995e-10, 3.760175e+01, 7.580550e-02
2.190000e+08, 1.462525e-01, 9.371076e-01, 2.631415e-02, 7.630218e-03, 2.881634e+00, -2.205970e-01, 1.415901e+00, -1.082666e+00, 1.494267e-10, 1.687853e-10, 3.140111e-11, 2.026462e-10, 3.763205e+01, 7.667836e-02
2.228000e+08, 1.459823e-01, 9.372243e-01, 2.673581e-02, 7.774497e-03, 2.878066e+00, -2.246269e-01, 1.415152e+00, -1.087504e+00, 1.506203e-10, 1.686279e-10, 3.281521e-11, 2.075128e-10, 3.766278e+01, 7.755310e-02
2.266000e+08, 1.457092e-01, 9.373419e-01, 2.715540e-02, 7.919332e-03, 2.874470e+00, -2.286531e-01, 1.414368e+00, -1.092459e+00, 1.517770e-10, 1.684777e-10, 3.418216e-11, 2.122094e-10, 3.769393e+01, 7.842931e-02
2.304000e+08, 1.454332e-01, 9.374602e-01, 2.757290e-02, 8.064713e-03, 2.870846e+00, -2.326757e-01, 1.413552e+00, -1.097526e+00, 1.528992e-10, 1.683342e-10, 3.550624e-11, 2.167453e-10, 3.772550e+01, 7.930664e-02
2.342000e+08, 1.451543e-01, 9.375794e-01, 2.798826e-02, 8.210627e-03, 2.867196e+00, -2.366948e-01, 1.412704e+00, -1.102701e+00, 1.539893e-10, 1.681969e-10, 3.679142e-11, 2.211288e-10, 3.775750e+01, 8.018472e-02
